"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 24 06:10:35 GMT 2023","Mon Apr 24 06:10:36 GMT 2023","771","User Suite","User","user.UserIT","user.UserIT","updateUserByEmail","updateUserByEmail","Testing 'updateUserByEmail' endpoint, using default values"
"passed","Mon Apr 24 06:10:28 GMT 2023","Mon Apr 24 06:10:34 GMT 2023","6557","User Suite","User","user.UserIT","user.UserIT","getAllUsers","getAllUsers","Testing 'getAllUsers' endpoint"
"passed","Mon Apr 24 06:10:41 GMT 2023","Mon Apr 24 06:10:42 GMT 2023","754","User Suite","User Favorites","user.UserFavoriteIT","user.UserFavoriteIT","getAllUsers","getAllUsers","Testing 'getAllUsers' endpoint"
"passed","Mon Apr 24 06:10:38 GMT 2023","Mon Apr 24 06:10:39 GMT 2023","989","User Suite","User Favorites","user.UserFavoriteIT","user.UserFavoriteIT","addProductToUserFavorites","addProductToUserFavorites","Testing 'addProductToUserFavorites' endpoint, using default value"
"passed","Mon Apr 24 06:10:36 GMT 2023","Mon Apr 24 06:10:36 GMT 2023","682","User Suite","User","user.UserIT","user.UserIT","deleteUserByEmail","deleteUserByEmail","Testing 'deleteUserByEmail' endpoint"
"passed","Mon Apr 24 06:10:24 GMT 2023","Mon Apr 24 06:10:28 GMT 2023","3680","User Suite","User","user.UserIT","user.UserIT","addUser","addUser","Testing 'addUser' endpoint, using default values"
"passed","Mon Apr 24 06:10:39 GMT 2023","Mon Apr 24 06:10:40 GMT 2023","1109","User Suite","User Favorites","user.UserFavoriteIT","user.UserFavoriteIT","addProductsToUserFavorites","addProductsToUserFavorites","Testing 'addProductsToUserFavorites' endpoint, using default values"
"passed","Mon Apr 24 06:10:34 GMT 2023","Mon Apr 24 06:10:35 GMT 2023","625","User Suite","User","user.UserIT","user.UserIT","getUserByEmail","getUserByEmail","Testing 'getUserByEmail' endpoint, using default value"
"passed","Mon Apr 24 06:10:40 GMT 2023","Mon Apr 24 06:10:41 GMT 2023","847","User Suite","User Favorites","user.UserFavoriteIT","user.UserFavoriteIT","removeProductFromUserFavorites","removeProductFromUserFavorites","Testing 'removeProductFromUserFavorites' endpoint, using default value"
